"Info","Info","Info","Objective","Objective","Extra Output","Variable","Variable","Variable","Variable","Variable",
"Iteration","Generation","Category","Total site energy consumption (kWh)","Discomfort ASHRAE 55 90% Acceptability (hr)","Cooling energy (kWh)","Window to Wall %","Site orientation (°)","Facade type","Local shading type","% External window opens",
"123","2","3-Non optimal","11575.76","1474.54060161394","24771.730","45","0","Layout 6x3-10-1M","No shading","50",
"124","2","3-Non optimal","11212.61","1450.10520438813","23772.302","25","90","Layout 6x4-10-0.6M","OVERHANG -4 - SDEFINS","70",
"125","2","3-Non optimal","11537.48","1466.41116809994","24678.577","40","0","Layout 3x6-10-0.6M","OVERHANG -2","50",
"126","2","1-Optimal","11180.46","1449.36183834505","23686.229","15","90","Layout 6x6-10-1M","OVERHANG -4 - SDEFINS","80",
"127","2","3-Non optimal","11451.93","1459.30150673423","24454.125","25","0","Layout 3x4-10-0.6M","OVERHANG -2","60",
"128","2","3-Non optimal","11342.68","1445.79560623297","24136.625","30","90","Layout 4x6-10-0.1M","OVERHANG -2","70",
"129","2","3-Non optimal","11581.66","1474.52525776855","24787.989","10","0","Layout 6x3-10-0.8M","No shading","50",
"130","2","3-Non optimal","11216.66","1454.30265924068","23788.077","50","90","Layout 5x3-10-0.6M","OVERHANG -4 - SDEFINS","50",
"131","2","3-Non optimal","11255.68","1450.71222452649","23896.996","20","90","Layout 5x3-10-0.8M","OVERHANG -2","60",
"132","2","3-Non optimal","11609.82","1471.2847289351","24857.640","10","270","Layout 6x4-10-0.6M","No shading","80",
"133","2","3-Non optimal","11440.21","1458.62770965723","24418.792","10","0","Layout 3x3-10-1M","OVERHANG -4 - SDEFINS","50",
"134","2","3-Non optimal","11523.03","1487.69333607423","24612.879","10","180","Layout 3x5-10-0.8M","OVERHANG -1","70",
"135","2","3-Non optimal","11222.73","1471.95070761307","23805.381","15","180","Layout 6x6-10-0.6M","OVERHANG -2","70",
"136","2","3-Non optimal","11265.94","1478.14348373497","23912.714","15","180","Layout 6x5-10-0.6M","OVERHANG -4 - SDEFINS","60",
"137","2","3-Non optimal","11470.71","1463.30044952702","24496.292","45","0","Layout 5x4-10-0.6M","OVERHANG -3 SIDEFINS","50",
"138","2","3-Non optimal","11511.07","1457.17632429454","24614.268","50","270","Layout 5x5-10-0.6M","OVERHANG -1","60",
"139","2","3-Non optimal","11284.79","1449.70829395622","23979.194","35","90","Layout 3x4-10-1M","OVERHANG -2","70",
"140","2","3-Non optimal","11367.16","1480.28828194422","24192.969","20","180","Layout 3x6-10-1M","OVERHANG -2","60",
"141","2","3-Non optimal","11356.92","1479.01996077437","24168.270","45","180","Layout 4x5-10-0.8M","OVERHANG -2","80",
"142","2","3-Non optimal","11317.73","1453.88617601243","24062.876","35","90","Layout 4x4-10-0.8M","OVERHANG -3 SIDEFINS","60",
"143","2","3-Non optimal","11799.06","1495.86785551088","25379.561","50","0","Layout 3x6-10-0.6M","No shading","80",
"144","2","3-Non optimal","11380.25","1446.0817296233","24267.510","40","270","Layout 5x4-10-1M","OVERHANG -2","50",
"145","3","3-Non optimal","11423.08","1462.40606309651","24358.767","15","0","Layout 6x5-10-0.8M","OVERHANG -4 - SDEFINS","50",
"146","3","3-Non optimal","11397.16","1445.06132738008","24321.492","15","270","Layout 4x6-10-0.6M","OVERHANG -4 - SDEFINS","70",
"147","3","3-Non optimal","11587.56","1473.98140807238","24808.608","10","0","Layout 6x6-10-0.6M","No shading","80",
"148","3","3-Non optimal","11254.59","1449.90877816928","23891.272","45","90","Layout 5x3-10-1M","OVERHANG -2","50",
"149","3","3-Non optimal","11367","1445.41300481412","24228.651","50","270","Layout 6x6-10-0.8M","OVERHANG -3 SIDEFINS","60",
